Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description;Note
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1961;1961;gigagrams;65354.8986;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1962;1962;gigagrams;66309.6152;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1963;1963;gigagrams;67018.8014;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1964;1964;gigagrams;67934.0813;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1965;1965;gigagrams;69201.5444;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1966;1966;gigagrams;70711.4642;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1967;1967;gigagrams;72114.4443;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1968;1968;gigagrams;73189.3077;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1969;1969;gigagrams;73528.6849;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1970;1970;gigagrams;73937.2094;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1971;1971;gigagrams;74961.5496;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1972;1972;gigagrams;76213.4314;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1973;1973;gigagrams;77183.8657;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1974;1974;gigagrams;79013.0185;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1975;1975;gigagrams;80337.3937;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1976;1976;gigagrams;81028.899;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1977;1977;gigagrams;81263.3714;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1978;1978;gigagrams;81439.6559;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1979;1979;gigagrams;81928.4161;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1980;1980;gigagrams;82896.8396;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1981;1981;gigagrams;83659.7476;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1982;1982;gigagrams;84611.9965;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1983;1983;gigagrams;85121.8918;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1984;1984;gigagrams;85646.1137;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1985;1985;gigagrams;86046.2996;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1986;1986;gigagrams;86764.5993;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1987;1987;gigagrams;86836.4769;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1988;1988;gigagrams;87310.1542;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1989;1989;gigagrams;88520.5026;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1990;1990;gigagrams;89072.7867;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1991;1991;gigagrams;89178.4437;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1992;1992;gigagrams;88592.0185;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1993;1993;gigagrams;88233.9782;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1994;1994;gigagrams;88949.9445;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1995;1995;gigagrams;89226.3755;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1996;1996;gigagrams;89201.5116;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1997;1997;gigagrams;87604.6154;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1998;1998;gigagrams;87741.5173;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;1999;1999;gigagrams;87975.2454;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2000;2000;gigagrams;88367.0959;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2001;2001;gigagrams;88439.6599;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2002;2002;gigagrams;89259.6541;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2003;2003;gigagrams;90315.1045;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2004;2004;gigagrams;91391.8563;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2005;2005;gigagrams;92371.3456;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2006;2006;gigagrams;93186.5278;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2007;2007;gigagrams;93998.5089;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2008;2008;gigagrams;94665.485;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2009;2009;gigagrams;94899.7532;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2010;2010;gigagrams;94817.2891;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2011;2011;gigagrams;95198.0478;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2012;2012;gigagrams;95965.8397;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2013;2013;gigagrams;96382.2168;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2014;2014;gigagrams;96971.7417;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2015;2015;gigagrams;97699.7691;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2016;2016;gigagrams;98868.0792;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2017;2017;gigagrams;99274.4564;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2018;2018;gigagrams;99942.2746;A;Aggregate, may include official, semi-official, estimated or calculated data;
